[2026-04-30 11:02:02] ColDense Individual Sample Performance
================================================================
Format: Category | Sample_Name | M | K | N | NNZ | WindowNum | BlockNum | FillRate | Performance(us)
HB | nos1 | 240 | 240 | 128 | 627 | 15 | 28 | 0.09 | 7.900158
HB | nos2 | 960 | 960 | 128 | 2547 | 60 | 118 | 0.08 | 12.780255
HB | nos3 | 960 | 960 | 128 | 8402 | 60 | 176 | 0.19 | 16.600332
HB | nos4 | 112 | 112 | 128 | 347 | 7 | 14 | 0.1 | 7.680153
HB | nos5 | 480 | 480 | 128 | 2820 | 30 | 99 | 0.11 | 12.280246
HB | nos6 | 688 | 688 | 128 | 1965 | 43 | 89 | 0.09 | 11.040221
HB | nos7 | 736 | 736 | 128 | 2673 | 46 | 130 | 0.08 | 13.740274
HB | orani678 | 2544 | 2544 | 128 | 90158 | 159 | 935 | 0.38 | 190.223801
HB | orani678_b | 2544 | 96 | 128 | 297 | 159 | 19 | 0.06 | 18.680374
HB | orsirr_1 | 1040 | 1040 | 128 | 6858 | 65 | 274 | 0.1 | 23.340467
HB | orsirr_2 | 896 | 896 | 128 | 5970 | 56 | 234 | 0.1 | 21.120422
HB | orsreg_1 | 2208 | 2208 | 128 | 14133 | 138 | 659 | 0.08 | 50.441010
HB | plat1919 | 1920 | 1920 | 128 | 17159 | 120 | 416 | 0.16 | 28.440569
HB | plat362 | 368 | 368 | 128 | 3074 | 23 | 74 | 0.16 | 9.680194
HB | plsk1919 | 1920 | 1920 | 128 | 4831 | 120 | 216 | 0.09 | 28.980579
HB | plskz362 | 368 | 368 | 128 | 880 | 23 | 40 | 0.09 | 9.240185
HB | pores_1 | 32 | 32 | 128 | 180 | 2 | 4 | 0.18 | 10.360208
HB | pores_2 | 1232 | 1232 | 128 | 9613 | 77 | 241 | 0.16 | 21.120422
HB | pores_3 | 544 | 544 | 128 | 3474 | 34 | 75 | 0.18 | 9.840197
HB | psmigr_1 | 3152 | 3152 | 128 | 543162 | 197 | 10509 | 0.2 | 392.987854
