[2026-05-01 20:28:43] | Category: Bai | Sample: rdb5000 | Dims(M,K,N,NNZ): 5008,5008,128,29600 | Perf: 70.341408 | Verify: SUCCESS
[2026-05-01 20:28:53] | Category: Bai | Sample: rdb800l | Dims(M,K,N,NNZ): 800,800,128,4640 | Perf: 15.480309 | Verify: SUCCESS
[2026-05-01 20:29:04] | Category: Bai | Sample: rdb968 | Dims(M,K,N,NNZ): 976,976,128,5632 | Perf: 17.780355 | Verify: SUCCESS
[2026-05-01 20:29:12] | Category: Bai | Sample: rw136 | Dims(M,K,N,NNZ): 144,144,128,479 | Perf: 6.560131 | Verify: SUCCESS
[2026-05-01 20:29:21] | Category: Bai | Sample: rw496 | Dims(M,K,N,NNZ): 496,496,128,1859 | Perf: 11.540231 | Verify: SUCCESS
[2026-05-01 20:29:46] | Category: Bai | Sample: rw5151 | Dims(M,K,N,NNZ): 5152,5152,128,20199 | Perf: 71.341423 | Verify: SUCCESS
[2026-05-01 20:29:57] | Category: Bai | Sample: tols1090 | Dims(M,K,N,NNZ): 1104,1104,128,3546 | Perf: 13.420268 | Verify: SUCCESS
[2026-05-01 20:30:11] | Category: Bai | Sample: tols2000 | Dims(M,K,N,NNZ): 2000,2000,128,5184 | Perf: 18.500370 | Verify: SUCCESS
[2026-05-01 20:30:19] | Category: Bai | Sample: tols340 | Dims(M,K,N,NNZ): 352,352,128,2196 | Perf: 7.940159 | Verify: SUCCESS
[2026-05-01 20:30:39] | Category: Bai | Sample: tols4000 | Dims(M,K,N,NNZ): 4000,4000,128,8784 | Perf: 30.360607 | Verify: SUCCESS
[2026-05-01 20:30:47] | Category: Bai | Sample: tols90 | Dims(M,K,N,NNZ): 96,96,128,1746 | Perf: 6.900138 | Verify: SUCCESS
[2026-05-01 20:30:54] | Category: Bai | Sample: tub100 | Dims(M,K,N,NNZ): 112,112,128,396 | Perf: 7.280146 | Verify: SUCCESS
[2026-05-01 20:31:05] | Category: Bai | Sample: tub1000 | Dims(M,K,N,NNZ): 1008,1008,128,3996 | Perf: 15.720314 | Verify: SUCCESS


[2026-05-02 06:53:48] | Category: Bai | Sample: bwm2000 | Dims(M,K,N,NNZ): 2000,2000,128,7996 | Perf: 24.720495 | Verify: FAILED
[2026-05-02 06:54:04] | Category: Bai | Sample: olm2000 | Dims(M,K,N,NNZ): 2000,2000,128,7996 | Perf: 22.160442 | Verify: SUCCESS
[2026-05-02 06:54:31] | Category: Bai | Sample: olm5000 | Dims(M,K,N,NNZ): 5008,5008,128,19996 | Perf: 47.600952 | Verify: SUCCESS

[2026-05-02 07:07:31] | Category: Gset | Sample: G10 | Dims(M,K,N,NNZ): 800,800,128,19176 | Perf: 47.760956 | Verify: SUCCESS
[2026-05-02 07:07:40] | Category: Gset | Sample: G11 | Dims(M,K,N,NNZ): 800,800,128,1600 | Perf: 11.380228 | Verify: SUCCESS
[2026-05-02 07:07:51] | Category: Gset | Sample: G12 | Dims(M,K,N,NNZ): 800,800,128,1600 | Perf: 11.020221 | Verify: SUCCESS
[2026-05-02 07:08:01] | Category: Gset | Sample: G13 | Dims(M,K,N,NNZ): 800,800,128,1600 | Perf: 10.780215 | Verify: SUCCESS
[2026-05-02 07:08:12] | Category: Gset | Sample: G18 | Dims(M,K,N,NNZ): 800,800,128,4694 | Perf: 17.140343 | Verify: SUCCESS
[2026-05-02 07:08:23] | Category: Gset | Sample: G19 | Dims(M,K,N,NNZ): 800,800,128,4661 | Perf: 16.020321 | Verify: SUCCESS
[2026-05-02 07:08:34] | Category: Gset | Sample: G20 | Dims(M,K,N,NNZ): 800,800,128,4672 | Perf: 16.900337 | Verify: SUCCESS
[2026-05-02 07:08:45] | Category: Gset | Sample: G21 | Dims(M,K,N,NNZ): 800,800,128,4667 | Perf: 16.220324 | Verify: SUCCESS
[2026-05-02 07:09:03] | Category: Gset | Sample: G27 | Dims(M,K,N,NNZ): 2000,2000,128,19990 | Perf: 69.601395 | Verify: SUCCESS
[2026-05-02 07:09:21] | Category: Gset | Sample: G28 | Dims(M,K,N,NNZ): 2000,2000,128,19990 | Perf: 70.941422 | Verify: SUCCESS
[2026-05-02 07:09:39] | Category: Gset | Sample: G29 | Dims(M,K,N,NNZ): 2000,2000,128,19990 | Perf: 69.161385 | Verify: SUCCESS
[2026-05-02 07:09:56] | Category: Gset | Sample: G30 | Dims(M,K,N,NNZ): 2000,2000,128,19990 | Perf: 69.341385 | Verify: SUCCESS
[2026-05-02 07:10:14] | Category: Gset | Sample: G31 | Dims(M,K,N,NNZ): 2000,2000,128,19990 | Perf: 68.561371 | Verify: SUCCESS
[2026-05-02 07:10:27] | Category: Gset | Sample: G32 | Dims(M,K,N,NNZ): 2000,2000,128,4000 | Perf: 19.120382 | Verify: SUCCESS
[2026-05-02 07:10:42] | Category: Gset | Sample: G33 | Dims(M,K,N,NNZ): 2000,2000,128,4000 | Perf: 19.680393 | Verify: SUCCESS
[2026-05-02 07:10:55] | Category: Gset | Sample: G34 | Dims(M,K,N,NNZ): 2000,2000,128,4000 | Perf: 19.960400 | Verify: SUCCESS
[2026-05-02 07:11:11] | Category: Gset | Sample: G39 | Dims(M,K,N,NNZ): 2000,2000,128,11778 | Perf: 33.380669 | Verify: SUCCESS
[2026-05-02 07:11:27] | Category: Gset | Sample: G40 | Dims(M,K,N,NNZ): 2000,2000,128,11766 | Perf: 33.360668 | Verify: SUCCESS
[2026-05-02 07:11:44] | Category: Gset | Sample: G41 | Dims(M,K,N,NNZ): 2000,2000,128,11785 | Perf: 33.600674 | Verify: SUCCESS
[2026-05-02 07:12:00] | Category: Gset | Sample: G42 | Dims(M,K,N,NNZ): 2000,2000,128,11779 | Perf: 33.740673 | Verify: SUCCESS
[2026-05-02 07:12:24] | Category: Gset | Sample: G56 | Dims(M,K,N,NNZ): 5008,5008,128,12498 | Perf: 48.260963 | Verify: SUCCESS
[2026-05-02 07:12:47] | Category: Gset | Sample: G57 | Dims(M,K,N,NNZ): 5008,5008,128,10000 | Perf: 39.120781 | Verify: SUCCESS
[2026-05-02 07:13:16] | Category: Gset | Sample: G59 | Dims(M,K,N,NNZ): 5008,5008,128,29570 | Perf: 79.201584 | Verify: SUCCESS
[2026-05-02 07:13:30] | Category: Gset | Sample: G6 | Dims(M,K,N,NNZ): 800,800,128,19176 | Perf: 47.820957 | Verify: SUCCESS
[2026-05-02 07:14:00] | Category: Gset | Sample: G61 | Dims(M,K,N,NNZ): 7008,7008,128,17148 | Perf: 63.421268 | Verify: SUCCESS
[2026-05-02 07:14:30] | Category: Gset | Sample: G62 | Dims(M,K,N,NNZ): 7008,7008,128,14000 | Perf: 53.561069 | Verify: SUCCESS
[2026-05-02 07:15:08] | Category: Gset | Sample: G64 | Dims(M,K,N,NNZ): 7008,7008,128,41459 | Perf: 109.982201 | Verify: SUCCESS
[2026-05-02 07:15:43] | Category: Gset | Sample: G65 | Dims(M,K,N,NNZ): 8000,8000,128,16000 | Perf: 59.761196 | Verify: SUCCESS
[2026-05-02 07:16:19] | Category: Gset | Sample: G66 | Dims(M,K,N,NNZ): 9008,9008,128,18000 | Perf: 66.661331 | Verify: SUCCESS
[2026-05-02 07:16:58] | Category: Gset | Sample: G67 | Dims(M,K,N,NNZ): 10000,10000,128,20000 | Perf: 73.761475 | Verify: SUCCESS
[2026-05-02 07:17:11] | Category: Gset | Sample: G7 | Dims(M,K,N,NNZ): 800,800,128,19176 | Perf: 47.700954 | Verify: SUCCESS
[2026-05-02 07:17:25] | Category: Gset | Sample: G8 | Dims(M,K,N,NNZ): 800,800,128,19176 | Perf: 47.940960 | Verify: SUCCESS
[2026-05-02 07:17:39] | Category: Gset | Sample: G9 | Dims(M,K,N,NNZ): 800,800,128,19176 | Perf: 47.660954 | Verify: SUCCESS

[2026-05-02 08:09:32] | Category: HB | Sample: 1138_bus | Dims(M,K,N,NNZ): 1152,1152,128,2596 | Perf: 13.560271 | Verify: SUCCESS
[2026-05-02 08:09:41] | Category: HB | Sample: 494_bus | Dims(M,K,N,NNZ): 496,496,128,1080 | Perf: 9.360188 | Verify: SUCCESS
[2026-05-02 08:09:50] | Category: HB | Sample: 662_bus | Dims(M,K,N,NNZ): 672,672,128,1568 | Perf: 10.060202 | Verify: SUCCESS
[2026-05-02 08:09:59] | Category: HB | Sample: 685_bus | Dims(M,K,N,NNZ): 688,688,128,1967 | Perf: 10.160203 | Verify: SUCCESS
[2026-05-02 08:10:07] | Category: HB | Sample: arc130 | Dims(M,K,N,NNZ): 144,144,128,1282 | Perf: 7.980160 | Verify: SUCCESS
[2026-05-02 08:10:14] | Category: HB | Sample: bcsstk01 | Dims(M,K,N,NNZ): 48,48,128,224 | Perf: 6.880137 | Verify: SUCCESS
[2026-05-02 08:10:22] | Category: HB | Sample: bcsstk02 | Dims(M,K,N,NNZ): 80,80,128,2211 | Perf: 7.440149 | Verify: FAILED
[2026-05-02 08:10:29] | Category: HB | Sample: bcsstk03 | Dims(M,K,N,NNZ): 112,112,128,376 | Perf: 6.660133 | Verify: SUCCESS
[2026-05-02 08:10:37] | Category: HB | Sample: bcsstk04 | Dims(M,K,N,NNZ): 144,144,128,1890 | Perf: 7.860157 | Verify: SUCCESS
[2026-05-02 08:10:45] | Category: HB | Sample: bcsstk05 | Dims(M,K,N,NNZ): 160,160,128,1288 | Perf: 7.240145 | Verify: SUCCESS
[2026-05-02 08:10:54] | Category: HB | Sample: bcsstk06 | Dims(M,K,N,NNZ): 432,432,128,4140 | Perf: 10.780215 | Verify: SUCCESS
[2026-05-02 08:11:03] | Category: HB | Sample: bcsstk07 | Dims(M,K,N,NNZ): 432,432,128,4140 | Perf: 10.380208 | Verify: SUCCESS
[2026-05-02 08:11:15] | Category: HB | Sample: bcsstk08 | Dims(M,K,N,NNZ): 1088,1088,128,7017 | Perf: 18.360367 | Verify: SUCCESS
[2026-05-02 08:11:28] | Category: HB | Sample: bcsstk09 | Dims(M,K,N,NNZ): 1088,1088,128,9760 | Perf: 16.260324 | Verify: SUCCESS
[2026-05-02 08:11:41] | Category: HB | Sample: bcsstk10 | Dims(M,K,N,NNZ): 1088,1088,128,11578 | Perf: 15.420308 | Verify: SUCCESS
[2026-05-02 08:11:56] | Category: HB | Sample: bcsstk11 | Dims(M,K,N,NNZ): 1488,1488,128,17857 | Perf: 21.020420 | Verify: SUCCESS
[2026-05-02 08:12:12] | Category: HB | Sample: bcsstk12 | Dims(M,K,N,NNZ): 1488,1488,128,17857 | Perf: 20.940418 | Verify: SUCCESS
[2026-05-02 08:12:35] | Category: HB | Sample: bcsstk13 | Dims(M,K,N,NNZ): 2016,2016,128,42943 | Perf: 41.520832 | Verify: SUCCESS
[2026-05-02 08:12:55] | Category: HB | Sample: bcsstk14 | Dims(M,K,N,NNZ): 1808,1808,128,32630 | Perf: 30.800615 | Verify: SUCCESS
[2026-05-02 08:13:28] | Category: HB | Sample: bcsstk15 | Dims(M,K,N,NNZ): 3952,3952,128,60882 | Perf: 64.861298 | Verify: SUCCESS
[2026-05-02 08:14:25] | Category: HB | Sample: bcsstk16 | Dims(M,K,N,NNZ): 4896,4896,128,147631 | Perf: 89.601791 | Verify: SUCCESS
[2026-05-02 08:15:57] | Category: HB | Sample: bcsstk17 | Dims(M,K,N,NNZ): 10976,10976,128,219812 | Perf: 157.223145 | Verify: SUCCESS
[2026-05-02 08:16:58] | Category: HB | Sample: bcsstk18 | Dims(M,K,N,NNZ): 11952,11952,128,80519 | Perf: 127.002541 | Verify: SUCCESS
[2026-05-02 08:17:08] | Category: HB | Sample: bcsstk19 | Dims(M,K,N,NNZ): 832,832,128,3835 | Perf: 11.680234 | Verify: SUCCESS
[2026-05-02 08:17:17] | Category: HB | Sample: bcsstk20 | Dims(M,K,N,NNZ): 496,496,128,1810 | Perf: 9.080182 | Verify: SUCCESS
[2026-05-02 08:17:38] | Category: HB | Sample: bcsstk21 | Dims(M,K,N,NNZ): 3600,3600,128,15100 | Perf: 41.440830 | Verify: SUCCESS
[2026-05-02 08:17:45] | Category: HB | Sample: bcsstk22 | Dims(M,K,N,NNZ): 144,144,128,417 | Perf: 6.920138 | Verify: SUCCESS
[2026-05-02 08:18:07] | Category: HB | Sample: bcsstk23 | Dims(M,K,N,NNZ): 3136,3136,128,24156 | Perf: 43.560871 | Verify: SUCCESS
[2026-05-02 08:18:44] | Category: HB | Sample: bcsstk24 | Dims(M,K,N,NNZ): 3568,3568,128,81736 | Perf: 49.980999 | Verify: SUCCESS
[2026-05-02 08:20:09] | Category: HB | Sample: bcsstk25 | Dims(M,K,N,NNZ): 15440,15440,128,133840 | Perf: 178.863571 | Verify: SUCCESS
[2026-05-02 08:20:25] | Category: HB | Sample: bcsstk26 | Dims(M,K,N,NNZ): 1936,1936,128,16129 | Perf: 23.300467 | Verify: SUCCESS
[2026-05-02 08:20:42] | Category: HB | Sample: bcsstk27 | Dims(M,K,N,NNZ): 1232,1232,128,28675 | Perf: 20.440409 | Verify: SUCCESS
[2026-05-02 08:21:29] | Category: HB | Sample: bcsstk28 | Dims(M,K,N,NNZ): 4416,4416,128,111717 | Perf: 62.361248 | Verify: SUCCESS
[2026-05-02 08:21:36] | Category: HB | Sample: bcsstm01 | Dims(M,K,N,NNZ): 48,48,128,48 | Perf: 6.060121 | Verify: SUCCESS
[2026-05-02 08:21:43] | Category: HB | Sample: bcsstm02 | Dims(M,K,N,NNZ): 80,80,128,66 | Perf: 6.680134 | Verify: SUCCESS
[2026-05-02 08:21:50] | Category: HB | Sample: bcsstm03 | Dims(M,K,N,NNZ): 112,112,128,112 | Perf: 6.380127 | Verify: SUCCESS
[2026-05-02 08:21:57] | Category: HB | Sample: bcsstm04 | Dims(M,K,N,NNZ): 144,144,128,132 | Perf: 7.080142 | Verify: SUCCESS
[2026-05-02 08:22:05] | Category: HB | Sample: bcsstm05 | Dims(M,K,N,NNZ): 160,160,128,153 | Perf: 6.520131 | Verify: SUCCESS
[2026-05-02 08:22:13] | Category: HB | Sample: bcsstm06 | Dims(M,K,N,NNZ): 432,432,128,420 | Perf: 7.300146 | Verify: SUCCESS
[2026-05-02 08:22:22] | Category: HB | Sample: bcsstm07 | Dims(M,K,N,NNZ): 432,432,128,3836 | Perf: 10.020201 | Verify: SUCCESS
[2026-05-02 08:22:32] | Category: HB | Sample: bcsstm08 | Dims(M,K,N,NNZ): 1088,1088,128,1074 | Perf: 9.240185 | Verify: SUCCESS
[2026-05-02 08:22:43] | Category: HB | Sample: bcsstm09 | Dims(M,K,N,NNZ): 1088,1088,128,1083 | Perf: 9.100182 | Verify: SUCCESS
[2026-05-02 08:22:56] | Category: HB | Sample: bcsstm10 | Dims(M,K,N,NNZ): 1088,1088,128,11589 | Perf: 15.360307 | Verify: SUCCESS
[2026-05-02 08:23:07] | Category: HB | Sample: bcsstm11 | Dims(M,K,N,NNZ): 1488,1488,128,1473 | Perf: 10.780215 | Verify: SUCCESS
[2026-05-02 08:23:20] | Category: HB | Sample: bcsstm12 | Dims(M,K,N,NNZ): 1488,1488,128,10566 | Perf: 18.680374 | Verify: SUCCESS
[2026-05-02 08:23:36] | Category: HB | Sample: bcsstm13 | Dims(M,K,N,NNZ): 2016,2016,128,11973 | Perf: 21.920439 | Verify: SUCCESS
