[2026-01-27 12:53:49] ColDense Individual Sample Performance
================================================================
Format: Category | Sample_Name | M | K | N | NNZ | WindowNum | BlockNum | FillRate | Performance(us)
HB | psmigr_1 | 3152 | 3152 | 128 | 543162 | 197 | 12432 | 0.17 | 563.722534
HB | psmigr_2 | 3152 | 3152 | 128 | 540022 | 197 | 12424 | 0.17 | 562.342468
HB | psmigr_3 | 3152 | 3152 | 128 | 543162 | 197 | 12432 | 0.17 | 563.842529
HB | saylr1 | 240 | 240 | 128 | 1128 | 15 | 43 | 0.1 | 8.440337
HB | saylr3 | 1008 | 1008 | 128 | 2375 | 63 | 131 | 0.07 | 9.180367
HB | saylr4 | 3568 | 3568 | 128 | 12940 | 223 | 791 | 0.06 | 28.161127
HB | sherman1 | 1008 | 1008 | 128 | 2375 | 63 | 131 | 0.07 | 9.080363
HB | sherman2 | 1088 | 1088 | 128 | 23094 | 68 | 387 | 0.23 | 17.280691
HB | sherman3 | 5008 | 5008 | 128 | 20033 | 313 | 1102 | 0.07 | 48.801952
HB | sherman4 | 1104 | 1104 | 128 | 3786 | 69 | 199 | 0.07 | 12.800512
HB | sherman5 | 3312 | 3312 | 128 | 20793 | 207 | 690 | 0.12 | 31.881275
HB | shl_0 | 672 | 672 | 128 | 1687 | 42 | 109 | 0.06 | 22.760910
HB | shl_200 | 672 | 672 | 128 | 1726 | 42 | 114 | 0.06 | 24.160967
HB | shl_400 | 672 | 672 | 128 | 1712 | 42 | 114 | 0.06 | 23.440937
HB | steam1 | 240 | 240 | 128 | 3762 | 15 | 67 | 0.22 | 8.380335
HB | steam2 | 608 | 608 | 128 | 13760 | 38 | 183 | 0.29 | 11.460459
HB | steam3 | 80 | 80 | 128 | 928 | 5 | 13 | 0.28 | 5.040202
HB | str_0 | 368 | 368 | 128 | 2454 | 23 | 63 | 0.15 | 6.880275
HB | str_200 | 368 | 368 | 128 | 3068 | 23 | 68 | 0.18 | 7.300292
HB | str_400 | 368 | 368 | 128 | 3157 | 23 | 69 | 0.18 | 7.500300
HB | str_600 | 368 | 368 | 128 | 3279 | 23 | 73 | 0.18 | 7.240290
HB | watt_1 | 1856 | 1856 | 128 | 11360 | 116 | 440 | 0.1 | 17.500700
HB | watt_2 | 1856 | 1856 | 128 | 11550 | 116 | 450 | 0.1 | 17.940718
HB | well1033 | 1040 | 320 | 128 | 4732 | 65 | 105 | 0.18 | 12.380495
HB | well1850 | 1856 | 720 | 128 | 8758 | 116 | 205 | 0.17 | 18.720749
HB | west0067 | 80 | 80 | 128 | 294 | 5 | 12 | 0.1 | 5.680227
HB | west0132 | 144 | 144 | 128 | 414 | 9 | 18 | 0.09 | 5.920237
HB | west0156 | 160 | 160 | 128 | 371 | 10 | 20 | 0.07 | 5.440217
HB | west0167 | 176 | 176 | 128 | 507 | 11 | 24 | 0.08 | 6.500260
HB | west0381 | 384 | 384 | 128 | 2157 | 24 | 106 | 0.08 | 17.020681
HB | west0479 | 480 | 480 | 128 | 1910 | 30 | 85 | 0.09 | 8.200328
HB | west0497 | 512 | 512 | 128 | 1727 | 32 | 79 | 0.09 | 8.180327
HB | west0655 | 656 | 656 | 128 | 2854 | 41 | 127 | 0.09 | 9.800392
HB | west0989 | 992 | 992 | 128 | 3537 | 62 | 145 | 0.1 | 9.940397
HB | west1505 | 1520 | 1520 | 128 | 5445 | 95 | 224 | 0.09 | 12.260490
HB | west2021 | 2032 | 2032 | 128 | 7353 | 127 | 303 | 0.09 | 16.340654
HB | wm1 | 208 | 288 | 128 | 2909 | 13 | 54 | 0.21 | 10.380415
HB | wm2 | 208 | 272 | 128 | 2942 | 13 | 54 | 0.21 | 10.040401
HB | wm3 | 208 | 272 | 128 | 2948 | 13 | 55 | 0.21 | 10.280411
HB | young3c | 848 | 848 | 128 | 3988 | 53 | 194 | 0.08 | 11.420457
HB | zenios | 2880 | 2880 | 128 | 15032 | 180 | 611 | 0.1 | 41.501659
JGD_Homology | D6-6 | 120576 | 23744 | 128 | 146880 | 7536 | 10706 | 0.05 | 496.079834
